"pitcher","player_name","game_year","n_pitches","n_pitch_types","pitch_mix","avg_VRA_KDE","avg_HRA_KDE","avg_VAA_KDE","avg_HAA_KDE","release_similarity_arsenal","approach_divergence_arsenal","tunnel_quality_arsenal","actual_rv","n_pitches_modeled","actual_rv_per_pitch","xrv_per_pitch","rv_diff_per_pitch","runs_saved_per_100","runs_saved_total","runs_saved_zscore","tunneling_plus","tunneling_WAA","tunneling_WAA_per162","tunnel_quality_pct","release_similarity_pct","approach_divergence_pct","tunneling_plus_pct","tunneling_plus_quartile","tunneling_plus_quartile_num","tunneling_plus_tier"
425794,"Wainwright, Adam",2023,1712,7,"CH, CS, CU, FC, FF, SI, SL",0.123113880967095,0.150287980510578,0.0942006957735997,0.112140218700305,0.136700930738836,0.896829542763048,0.516765236750942,0.0197844626168224,1616,0.0189950495049505,0.0168611266241653,0.00213392288078517,-0.213392288078517,-3.44841937534884,-0.294701128174725,97.0529887182527,-0.344841937534884,-0.4745350391574,0.416088765603329,0.762829403606103,76.2829403606103,35.1595006934813,"Q2 (25-50%)",2,"Below Average (90-100)"
425844,"Greinke, Zack",2023,2218,7,"CH, CS, CU, FC, FF, SI, SL",0.172541183656342,0.216569315467775,0.102150882130884,0.13115438603901,0.194555249562059,0.883347365915053,0.538951307738556,0.00187195671776375,2217,0.00185340550293189,-0.000947193660591441,0.00280059916352333,-0.280059916352333,-6.20892834553122,-0.398207843400184,96.0179215659982,-0.620892834553122,-0.64120410984194,10.124826629681,10.4715672676838,61.1650485436893,30.2357836338419,"Q2 (25-50%)",2,"Below Average (90-100)"
434378,"Verlander, Justin",2023,2878,4,"CH, CU, FF, SL",0.145999532446748,0.312358366127519,0.0326195272021877,0.123406365053714,0.229178949287133,0.921987053872049,0.575583001579591,-0.00738012508686588,2878,-0.00738012508686588,-0.00696195776074674,-0.000418167326119137,0.0418167326119137,1.20348556457088,0.10153086794606,101.015308679461,0.120348556457088,0.163487512568676,80.0970873786408,34.5353675450763,92.0249653259362,52.2884882108183,"Q3 (50-75%)",3,"Above Average (100-110)"
434378,"Verlander, Justin",2024,1580,5,"CH, CU, FF, SI, SL",0.138004704954918,0.297741942143747,0.0406534233507988,0.137853065567199,0.217873323549333,0.910746755541001,0.564310039545167,0.00454873417721519,1578,0.00449683143219265,-0.000692083006408963,0.00518891443860161,-0.518891443860161,-8.18810698411334,-0.769012498443285,92.3098750155671,-0.818810698411334,-1.23828292861151,60.9570041608876,24.0638002773925,86.130374479889,18.2385575589459,"Q1 (Bottom 25%)",1,"Below Average (90-100)"
434378,"Verlander, Justin",2025,2608,6,"CH, CU, FF, SI, SL, ST",0.164497074233795,0.284343031377694,0.0573894650450855,0.129924679232594,0.224420052805744,0.90634292786116,0.565381490333452,1.95552147239265e-05,2598,-0.000364896073903002,-5.94310967299694e-05,-0.000305464977173033,0.0305464977173033,0.793598010695539,0.0840329454315639,100.840329454316,0.0793598010695539,0.13531192533215,63.245492371706,29.6809986130374,83.7725381414702,51.24826629681,"Q3 (50-75%)",3,"Above Average (100-110)"
445276,"Jansen, Kenley",2023,721,3,"FC, SI, SL",0.206716379904496,0.268299631877986,0.12074125788633,0.197398314504666,0.237508005891241,0.840930213804502,0.539219109847872,-0.00537586685159501,557,-0.00864093357271095,-0.00397101324051619,-0.00466992033219477,0.466992033219477,2.60114562503248,0.761648827747104,107.616488277471,0.260114562503248,1.22642576408758,10.6796116504854,42.0943134535367,10.124826629681,79.6809986130374,"Q4 (Top 25%)",4,"Above Average (100-110)"
445276,"Jansen, Kenley",2024,812,4,"FC, SI, SL, ST",0.178303331556216,0.371058569606369,0.121587069854361,0.193608320325117,0.274680950581292,0.842402304910261,0.558541627745777,-0.0130541871921182,682,-0.0103196480938416,-0.00276932027190924,-0.00755032782193241,0.755032782193241,5.1493235745579,1.20885465386264,112.088546538626,0.51493235745579,1.94652763652199,47.7808599167822,76.1442441054092,11.0263522884882,91.2621359223301,"Q4 (Top 25%)",4,"Elite (110+, +1 SD effect)"
445276,"Jansen, Kenley",2025,869,4,"FC, SI, SL, ST",0.194351696777463,0.386103021978599,0.111384671628538,0.168451856717269,0.290227359378031,0.860081735827096,0.575154547602564,-0.0115937859608746,707,-0.0179207920792079,-0.00515910610556602,-0.0127616859736419,1.27616859736419,9.02251198336482,2.01795882947754,120.179588294775,0.902251198336482,3.24936717444937,79.8196948682386,87.1705963938974,28.0859916782247,97.8502080443828,"Q4 (Top 25%)",4,"Elite (110+, +1 SD effect)"
445926,"Chavez, Jesse",2023,578,6,"CH, CU, FC, FF, PO, SI",0.328092521671105,0.199081996287608,0.188507725386615,0.118545991595463,0.263587258979357,0.846473141508961,0.555030200244159,-0.0106955017301038,465,-0.0058258064516129,-0.000700182469396774,-0.00512562398221613,0.512562398221613,2.3834151517305,0.83240038911394,108.324003891139,0.23834151517305,1.34035167659292,39.875173370319,67.4757281553398,14.9791955617198,81.622746185853,"Q4 (Top 25%)",4,"Above Average (100-110)"
445926,"Chavez, Jesse",2024,1072,5,"CH, CU, FC, SI, SL",0.327059832529106,0.218453641812589,0.179387326575115,0.131436045307693,0.272756737170848,0.844588314058596,0.558672525614722,-0.00171921641791045,980,-0.00395612244897959,-0.00280151015565712,-0.00115461229332248,0.115461229332248,1.13152004745603,0.215869717959533,102.158697179595,0.113152004745603,0.347598754369511,48.127600554785,74.8266296809986,13.1067961165049,58.3217753120666,"Q3 (50-75%)",3,"Above Average (100-110)"
